,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2013-2014,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,Degrees,,,,,,
5,,,,,,,Doctor's,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,Practice,,
8,,,,,,,,,
9,Total,,17421,9589,4930,1206,755,1,940
10,              Ann Arbor,,13950,7076,4297,881,755,1,940
11,              Dearborn,,1784,1297,210,277,0,0,0
12,              Flint,,1687,1216,423,48,0,0,0
13,,,,,,,,,
14,The University of Michigan - Ann Arbor,,,,,,,,
15,,,,,,,,,
16,Accounting,,,,,,,,
17,,Business Administration,144,0,144,0,0,0,0
18,Adult/Gerontology Primary Care Nurse Practitioner,,,,,,,,
19,,Rackham,9,0,9,0,0,0,0
20,Adult-Gerontology Acute Care Clinical Nurse Spec,,,,,,,,
21,,Rackham,1,0,1,0,0,0,0
22,Adult-Gerontology Acute Care Nurse Practitioner,,,,,,,,
23,,Rackham,25,0,25,0,0,0,0
24,Aerospace Engineering,,,,,,,,
25,,Engineering,130,130,0,0,0,0,0
26,,Rackham,117,0,68,24,0,0,25
27,African American Diasporic Studies,,,,,,,,
28,,Rackham,0,0,0,0,0,0,0
29,African Studies,,,,,,,,
30,,Rackham,0,0,0,0,0,0,0
31,Afroamerican and African Studies,,,,,,,,
32,,Literature Science & the Arts,22,22,0,0,0,0,0
33,American Culture,,,,,,,,
34,,Literature Science & the Arts,25,25,0,0,0,0,0
35,,Rackham,11,0,0,5,0,0,6
36,Ancient Civilizations and Biblical Studies,,,,,,,,
37,,Literature Science & the Arts,2,2,0,0,0,0,0
38,Anthropology,,,,,,,,
39,,Literature Science & the Arts,87,87,0,0,0,0,0
40,,Rackham,37,0,10,14,0,0,13
41,Anthropology and History,,,,,,,,
42,,Rackham,10,0,1,5,0,0,4
43,Applied and Interdisciplinary Mathematics,,,,,,,,
